COUNTRY,UNITS,TOTAL 2016,COAL,NATURAL GAS,PETROLEUM +OTHER LIQUIDS,"NUCLEAR, RENEWABLES + OTHERS"
South Sudan,Quad Btu,0.01680949648,0,0,0.01680949648,0
Spain,Quad Btu,5.738094178,0.4025741025,1.103254125,2.69505513,1.537210821
Sri Lanka,Quad Btu,0.3618804689,0.05694324847,0,0.262175682,0.04276153847
Sudan,Quad Btu,0.357253632,0,0,0.283735278,0.073518354
Suriname,Quad Btu,0.038350384,0,0,0.027876024,0.01047436
Swaziland,Quad Btu,0.01906967379,0.003382936306,0,0.01070984259,0.004976894896
Sweden,Quad Btu,2.169875924,0.07061168835,0.03602991996,0.655395433,1.407838882
Switzerland,Quad Btu,1.184681095,0.002517522489,0.1331689639,0.46927975,0.5797148585
Syria,Quad Btu,0.4386540028,9.21E-05,0.1386556915,0.291880974,0.008025199736
Taiwan,Quad Btu,4.764669176,1.528713489,0.802704373,2.010851722,0.4223995915
Tajikistan,Quad Btu,0.2166923085,0.03101435694,0.0007023562289,0.03684339,0.1481322054
Tanzania,Quad Btu,0.2343458401,0.007429958784,0.05556429,0.1489814939,0.02237009739
Thailand,Quad Btu,5.418604501,0.6809291713,1.79307402,2.613536094,0.331065216
Timor-Leste (East Timor),Quad Btu,0.007698704204,0,0,0.007349352102,0.000349352102
Togo,Quad Btu,0.04099832215,0.003439601075,0,0.031140744,0.006417977075
Tonga,Quad Btu,0.001895233278,0,0,0.001895233278,0
Trinidad and Tobago,Quad Btu,0.8930771944,5.61E-06,0.7746757419,0.11833878,5.71E-05
Tunisia,Quad Btu,0.3824600375,4.85E-05,0.1832805645,0.193889964,0.005241059029
Turkey,Quad Btu,5.969057701,1.510736924,1.684133298,1.915974989,0.8582124902
Turkmenistan,Quad Btu,1.766416641,0,1.473889677,0.292526964,0
Turks and Caicos Islands,Quad Btu,0.003054738,0,0,0.003027369,2.74E-05
Tuvalu,Quad Btu,0,0,0,0,0
U.S. Pacific Islands,Quad Btu,0.004256860448,0,0,0.004128430224,0.000128430224
U.S. Territories,Quad Btu,0,0,0,0,0
Uganda,Quad Btu,0.09517695571,0,0,0.06529189985,0.02988505585
Ukraine,Quad Btu,3.889533171,1.330201965,1.133836995,0.48436074,0.941133471
United Arab Emirates,Quad Btu,4.709657254,0.05391558437,2.761756479,1.888920726,0.005064465226
United Kingdom,Quad Btu,8.769488138,0.9828903746,3.047646949,3.242847522,1.496103293
United States,Quad Btu,99.16161476,14.22597264,28.400352,39.12361956,17.41167056
Uruguay,Quad Btu,0.2251153033,1.07E-05,0.002354870777,0.107775654,0.114974044
Uzbekistan,Quad Btu,1.764057936,0.0684403599,1.490848412,0.100542396,0.1042267678
Vanuatu,Quad Btu,0.002670927296,0,0,0.002289303648,0.000381623648
Venezuela,Quad Btu,2.752176731,0.004929681217,0.9463269117,1.181218152,0.6197019864
Vietnam,Quad Btu,3.19915582,1.317919928,0.3293502569,0.95555463,0.5963310049
"Virgin Islands,  U.S.",Quad Btu,0.03413985607,0,0,0.03393144803,0.0002084080326
"Virgin Islands, British",Quad Btu,0.002566913916,0,0,0.002566913916,0
Wake Island,Quad Btu,0.019746224,0,0,0.019373112,0.000373112
Western Sahara,Quad Btu,0.003654737652,0,0,0.003654737652,0
Yemen,Quad Btu,0.1437878763,0.003114623119,0.01869869101,0.115210944,0.00676361813
Zambia,Quad Btu,0.1551430752,0.004091181602,0,0.04570059,0.1053513036
Zimbabwe,Quad Btu,0.1580888191,0.07584684063,0,0.048758154,0.03348382451
